"","Missing Value","Low","Medium","High","Date"
"1",5,5,172,36,2012-06-27
"2",5,4,169,40,2012-06-28
"3",5,3,175,35,2012-06-29
"4",5,5,178,30,2012-06-30
"5",5,3,174,36,2012-07-01
"6",5,2,168,43,2012-07-02
"7",5,6,171,35,2012-07-03
"8",5,3,172,37,2012-07-04
"9",5,174,39,5,2012-07-05
"10",5,2,174,37,2012-07-06
"11",5,4,161,48,2012-07-07
"12",5,5,181,27,2012-07-08
"13",5,1,180,32,2012-07-09
"14",5,2,176,35,2012-07-10
"15",5,3,180,30,2012-07-11
"16",5,4,172,37,2012-07-12
"17",5,5,173,35,2012-07-13
"18",5,5,173,35,2012-07-14
"19",5,2,179,32,2012-07-15
"20",5,6,173,33,2012-07-16
"21",5,2,171,40,2012-07-17
"22",5,4,177,31,2012-07-18
"23",5,4,179,30,2012-07-19
"24",5,3,170,40,2012-07-20
"25",5,2,174,37,2012-07-21
"26",5,3,170,40,2012-07-22
"27",5,7,173,33,2012-07-23
"28",5,4,169,40,2012-07-24
"29",5,2,181,30,2012-07-25
"30",5,5,174,34,2012-07-26
"31",5,3,174,36,2012-07-27
"32",5,5,171,37,2012-07-28
"33",5,6,172,35,2012-07-29
"34",5,7,176,29,2012-07-30
"35",5,3,176,34,2012-07-31
"36",5,3,178,32,2012-08-01
"37",5,9,167,37,2012-08-02
"38",5,2,179,32,2012-08-03
"39",5,1,168,44,2012-08-04
"40",5,6,168,39,2012-08-05
"41",5,4,182,27,2012-08-06
"42",5,5,183,25,2012-08-07
"43",5,183,30,5,2012-08-08
"44",5,2,176,35,2012-08-09
"45",5,1,178,34,2012-08-10
"46",5,4,177,32,2012-08-11
"47",5,3,177,33,2012-08-12
"48",5,4,178,31,2012-08-13
"49",5,1,183,29,2012-08-14
"50",5,7,177,28,2012-08-15
"51",5,3,183,26,2012-08-16
"52",5,2,179,32,2012-08-17
"53",5,6,170,37,2012-08-18
"54",5,8,174,31,2012-08-19
"55",5,7,173,33,2012-08-20
"56",5,4,181,28,2012-08-21
"57",5,5,171,37,2012-08-22
"58",5,3,167,43,2012-08-23
"59",5,4,183,26,2012-08-24
"60",5,3,179,31,2012-08-25
"61",5,7,169,37,2012-08-26
"62",5,2,187,24,2012-08-27
"63",5,4,185,23,2012-08-28
"64",5,4,176,33,2012-08-29
"65",5,2,177,34,2012-08-30
"66",5,4,178,31,2012-08-31
"67",5,5,184,24,2012-09-01
"68",5,7,183,23,2012-09-02
"69",5,4,177,32,2012-09-03
"70",5,3,170,40,2012-09-04
"71",5,2,182,29,2012-09-05
"72",5,2,179,32,2012-09-06
"73",5,3,184,26,2012-09-07
"74",5,4,181,28,2012-09-08
"75",5,9,173,31,2012-09-09
"76",5,6,174,33,2012-09-10
"77",5,4,172,37,2012-09-11
"78",5,1,182,30,2012-09-12
"79",5,5,185,22,2012-09-13
"80",5,6,185,22,2012-09-14
"81",5,3,172,38,2012-09-15
"82",5,3,178,32,2012-09-16
"83",5,3,184,26,2012-09-17
"84",5,3,181,29,2012-09-18
"85",5,5,176,32,2012-09-19
"86",5,4,181,28,2012-09-20
"87",5,2,182,29,2012-09-21
"88",5,6,177,29,2012-09-22
"89",5,5,184,24,2012-09-23
"90",5,1,177,35,2012-09-24
"91",5,5,179,29,2012-09-25
"92",5,3,178,32,2012-09-26
"93",5,4,169,40,2012-09-27
"94",5,4,175,34,2012-09-28
"95",5,4,188,21,2012-09-29
"96",5,5,174,34,2012-09-30
"97",5,4,179,30,2012-10-01
"98",5,4,181,28,2012-10-02
"99",5,2,176,35,2012-10-03
"100",5,6,170,37,2012-10-04
"101",5,7,174,32,2012-10-05
"102",5,6,182,25,2012-10-06
"103",5,6,161,46,2012-10-07
"104",5,3,186,24,2012-10-08
"105",5,3,172,37,2012-10-09
"106",5,5,172,36,2012-10-10
"107",5,5,186,22,2012-10-11
"108",5,3,183,27,2012-10-12
"109",5,5,167,41,2012-10-13
"110",5,2,181,30,2012-10-14
"111",5,4,176,33,2012-10-15
"112",5,2,176,35,2012-10-16
"113",5,6,183,24,2012-10-17
"114",5,8,169,36,2012-10-18
"115",5,2,189,22,2012-10-19
"116",5,4,171,38,2012-10-20
"117",5,5,169,39,2012-10-21
"118",5,3,178,32,2012-10-22
"119",5,6,179,28,2012-10-23
"120",5,5,179,29,2012-10-24
"121",5,6,175,32,2012-10-25
"122",5,5,181,27,2012-10-26
"123",5,2,178,33,2012-10-27
"124",5,5,178,30,2012-10-28
"125",5,3,182,27,2012-10-29
"126",5,6,173,33,2012-10-30
"127",5,5,187,21,2012-10-31
"128",5,3,169,41,2012-11-01
"129",5,6,180,27,2012-11-02
"130",5,5,173,35,2012-11-03
"131",5,1,184,28,2012-11-04
"132",5,6,182,25,2012-11-05
"133",5,3,179,31,2012-11-06
"134",5,4,175,34,2012-11-07
"135",5,4,180,29,2012-11-08
"136",5,4,177,32,2012-11-09
"137",5,4,178,31,2012-11-10
"138",5,4,180,29,2012-11-11
"139",5,3,176,34,2012-11-12
"140",5,3,181,29,2012-11-13
"141",5,3,179,30,2012-11-14
"142",5,4,188,21,2012-11-15
"143",5,4,175,34,2012-11-16
"144",5,6,171,36,2012-11-17
"145",5,1,175,37,2012-11-18
"146",5,6,178,29,2012-11-19
"147",5,4,171,38,2012-11-20
"148",5,4,183,26,2012-11-21
"149",5,3,181,29,2012-11-22
"150",5,4,177,32,2012-11-23
"151",5,4,172,37,2012-11-24
"152",5,1,174,38,2012-11-25
"153",5,3,180,30,2012-11-26
"154",5,4,177,31,2012-11-27
"155",5,2,184,26,2012-11-29
"156",5,3,177,33,2012-11-30
"157",5,4,173,36,2012-12-01
"158",5,2,183,28,2012-12-02
"159",5,3,182,28,2012-12-03
"160",5,6,169,38,2012-12-04
"161",5,3,175,35,2012-12-05
"162",5,2,179,32,2012-12-06
"163",5,4,177,32,2012-12-07
"164",5,7,170,36,2012-12-08
"165",5,3,174,36,2012-12-09
"166",5,1,181,31,2012-12-10
"167",5,4,181,28,2012-12-11
"168",5,5,180,28,2012-12-12
"169",5,4,176,33,2012-12-13
"170",5,5,178,30,2012-12-14
"171",5,4,183,26,2012-12-15
"172",5,5,183,24,2012-12-16
"173",5,3,167,43,2012-12-17
"174",5,5,185,23,2012-12-18
"175",5,4,185,24,2012-12-19
"176",5,1,174,38,2012-12-20
"177",5,3,174,36,2012-12-21
"178",5,7,172,34,2012-12-22
"179",5,4,176,33,2012-12-23
"180",5,4,174,35,2012-12-24
"181",5,4,180,29,2012-12-25
"182",5,2,184,27,2012-12-26
"183",5,4,179,30,2012-12-27
"184",5,5,171,37,2012-12-28
"185",5,5,177,31,2012-12-29
"186",5,5,177,31,2012-12-30
"187",5,4,174,34,2012-12-31
"188",5,2,187,23,2013-01-01
"189",5,2,175,36,2013-01-02
"190",5,6,173,34,2013-01-03
"191",5,4,178,31,2013-01-04
"192",5,2,188,23,2013-01-05
"193",5,3,165,45,2013-01-06
"194",5,4,186,23,2013-01-07
"195",5,2,177,34,2013-01-08
"196",5,4,184,25,2013-01-09
"197",5,3,188,22,2013-01-10
"198",5,2,184,27,2013-01-11
"199",5,5,173,35,2013-01-12
"200",5,4,175,34,2013-01-13
"201",5,5,177,31,2013-01-14
"202",5,3,182,27,2013-01-15
"203",5,6,171,36,2013-01-16
"204",5,7,180,26,2013-01-17
"205",5,3,181,29,2013-01-18
"206",5,3,178,32,2013-01-19
"207",5,4,185,24,2013-01-20
"208",5,3,185,25,2013-01-21
"209",5,2,173,38,2013-01-22
"210",5,3,172,38,2013-01-23
"211",5,2,179,32,2013-01-24
"212",5,6,175,32,2013-01-25
"213",5,4,184,25,2013-01-26
"214",5,2,187,24,2013-01-27
"215",5,6,172,35,2013-01-28
"216",5,4,176,32,2013-01-29
"217",5,2,176,35,2013-01-30
"218",5,4,189,20,2013-01-31
